8	20.97	17.28	38.24
13	17.82	16.6	41.67
18	9.7	11.36	36.18
23	6.52	9.99	37.57
28	5.94	12.45	37.02
33	5.87	12.57	37.19
38	4.83	12.21	37.53
43	4.41	11.9	36.35
48	3.49	10.29	36.05
53	3.35	10.46	35.39
58	3.22	8.59	35.23
63	2.97	9.34	34.87
68	3.03	9.57	35.17
73	3.04	10.88	34.89
78	2.92	7.87	34.76
83	2.85	8.26	34.97
88	2.37	7.72	35.59
93	2.14	6.93	33.97
98	2.26	6.95	34.02
103	2.23	6.3	34.23
108	1.95	6.01	35.25
113	1.97	6.34	35.17
118	1.9	5.23	34.93
123	1.66	5.26	35.58
128	1.45	5.44	35.26
133	1.43	5.61	35.48
138	1.41	5.24	34.96
143	1.38	5.11	34.83
148	1.3	5.07	35.52
153	1.3	5.03	35.68
158	1.32	5.59	35.84
163	1.29	5.53	35.54
168	1.29	5.93	35.86
173	1.31	5.19	35.92
178	1.34	5.21	35.95
183	1.3	5.43	35.86
188	1.25	5.45	36.03
193	1.28	4.86	35.86
198	1.29	5.02	36.01
203	1.25	4.71	35.75
208	1.28	5.18	35.49
213	1.28	5.45	35.22
218	1.27	5.34	34.81
223	1.26	6.38	34.73
228	1.21	5.74	35.13
233	1.22	5.32	35.25
238	1.25	5.42	35.46
243	1.24	5.34	35.15
