8	6.29	99.89	22.83
13	6.52	99.71	18.88
18	4.64	19.22	17.36
23	4.5	14.77	19.31
28	4.11	9.53	18.84
33	3.98	13.95	20.84
38	3.69	11.69	21.37
43	3.19	8.65	20.17
48	2.44	6.86	19.49
53	2.41	7.4	19.46
58	2.26	5.74	18.44
63	2.21	9.2	17.96
68	2.16	7.85	17.87
73	2.12	7.22	17.08
78	2.08	6.71	16.84
83	2.03	6.92	16.58
88	1.8	6.55	15.79
93	1.79	6.56	15.74
98	1.76	6.04	15.66
103	1.68	5.43	15.55
108	1.68	5.17	15.32
113	1.58	4.9	16.69
118	1.55	5.57	16.56
123	1.53	4.5	15.95
128	1.53	4.93	15.78
133	1.52	5.09	16.47
138	1.52	5.23	16.13
143	1.37	4.93	15.69
148	1.31	4.71	15.61
153	1.3	4.41	15.48
158	1.28	4.8	15.54
163	1.25	4.8	15.46
168	1.24	4.64	15.35
173	1.24	4.38	15.21
178	1.21	4.65	15.06
183	1.16	3.6	15.06
188	1.13	3.44	14.82
193	1.13	3.37	15.06
198	1.1	3.29	14.84
203	1.13	2.72	15.26
208	1.11	2.47	15.03
213	0.99	2.44	15.65
218	0.98	2.57	15.44
223	0.93	2.51	15.85
228	0.93	2.42	16.73
233	0.87	2.5	16.51
238	0.86	2.35	16.36
