8	25.91	17.77	53.62
9	22.23	15.18	49.4
10	22.04	13.98	48.43
11	20.41	22.1	46.17
12	19.93	20.45	45.93
13	19.19	20.82	44.1
14	19.6	20.96	44.35
15	19.26	15.26	43.74
16	18.0	14.31	43.68
17	17.62	14.33	42.12
18	17.07	14.19	41.47
19	16.94	13.59	41.32
20	16.86	14.02	41.29
21	14.84	13.75	41.04
22	14.84	14.25	43.81
23	12.94	14.94	43.52
24	12.89	14.34	43.26
25	12.66	12.81	43.03
26	12.67	11.87	43.1
27	12.48	10.39	43.02
28	12.47	10.96	43.04
29	12.34	10.65	43.04
30	12.11	8.16	43.18
31	12.05	8.06	42.25
32	12.07	7.36	42.17
33	12.02	7.41	41.83
34	12.04	6.85	43.34
35	12.06	10.17	43.13
36	11.9	10.23	43.02
37	11.87	10.62	42.87
38	11.84	11.12	43.05
39	11.81	9.43	43.04
40	11.89	7.49	42.25
41	11.87	6.92	42.0
42	11.87	6.38	41.76
43	11.62	6.18	40.72
44	11.58	6.19	40.65
45	7.78	6.02	40.28
46	7.82	6.07	41.01
47	3.01	5.77	40.96
48	2.84	5.75	40.61
49	2.87	5.93	41.39
50	2.85	5.94	41.16
51	2.99	5.94	41.2
52	3.01	5.91	41.12
53	2.99	5.18	40.97
54	2.99	5.17	40.56
55	2.99	4.76	40.48
56	3.04	4.98	40.28
57	3.04	4.85	40.32
58	3.0	4.49	40.09
59	3.08	4.44	40.05
60	3.14	4.49	39.95
61	3.13	4.53	39.75
62	2.89	4.25	40.25
63	2.89	4.32	40.34
64	2.89	4.4	39.46
65	2.89	4.53	40.08
66	2.91	4.37	39.94
67	2.91	4.52	39.77
68	2.91	5.49	39.69
69	2.93	6.01	39.68
70	2.91	5.98	39.59
71	2.67	4.76	39.63
72	2.65	4.98	39.65
73	2.83	5.22	39.65
74	2.83	6.21	39.45
75	2.83	6.29	39.29
76	2.76	6.34	39.29
77	2.76	6.34	39.86
78	2.58	6.35	39.75
79	2.56	6.3	39.76
80	2.71	6.17	39.56
81	2.71	6.28	39.49
82	2.55	5.44	39.49
83	2.55	5.24	39.46
84	2.55	5.22	39.5
85	2.55	5.25	39.56
86	2.68	4.97	39.39
87	2.66	4.81	38.77
88	2.66	4.86	38.7
89	2.62	4.93	38.7
90	2.62	4.74	38.63
91	2.62	4.74	38.58
92	2.59	5.0	38.47
93	2.59	4.93	38.08
94	2.49	4.95	38.95
95	2.49	4.61	39.02
96	2.31	4.28	39.07
97	2.31	4.47	38.98
98	2.29	4.32	38.8
99	2.31	3.65	38.67
100	2.28	3.61	38.64
101	2.3	3.76	38.67
102	2.3	4.07	38.52
103	2.3	4.03	39.03
104	2.29	4.3	39.03
105	2.04	4.3	38.93
106	2.07	4.12	38.77
107	2.13	4.11	38.7
108	2.17	4.07	38.63
109	2.17	4.0	38.52
110	2.17	4.3	38.46
111	2.19	4.63	38.52
112	2.2	4.75	38.45
113	2.12	4.59	38.57
114	2.11	4.76	38.49
115	2.11	5.0	38.53
116	2.11	4.9	38.34
117	2.11	5.04	38.81
118	2.16	5.13	38.71
119	2.16	5.23	39.05
120	2.06	5.42	38.99
121	2.06	5.48	38.88
122	2.06	5.49	38.67
123	2.05	5.99	38.65
124	2.04	5.98	38.47
125	2.27	6.02	38.46
126	2.32	5.96	38.39
127	2.32	5.85	38.33
128	2.31	4.89	38.33
129	2.31	4.88	38.36
130	2.31	4.87	38.37
131	2.31	4.41	39.08
132	2.32	4.61	39.1
133	2.27	4.37	39.07
134	2.27	4.43	39.53
135	2.28	4.42	39.74
136	2.28	4.58	39.85
137	2.28	4.58	39.9
138	2.27	4.87	39.93
139	2.29	4.86	39.84
140	2.23	3.98	39.88
141	2.22	4.11	39.91
142	2.28	4.05	40.04
143	2.26	4.28	40.01
144	2.23	4.04	40.16
145	2.23	3.93	40.1
