[Reporting] 220	88	1.26
[Reporting] 221	88	0.9
[Reporting] 222	88	0.9
[Reporting] 223	88	0.9
[Reporting] 224	88	0.91
[Reporting] 225	88	0.91
[Reporting] 226	88	0.91
[Reporting] 227	88	0.9
[Reporting] 228	88	0.89
[Reporting] 229	88	0.9
[Reporting] 230	88	0.9
[Reporting] 231	88	0.89
[Reporting] 232	88	0.89
[Reporting] 233	88	0.89
[Reporting] 234	88	0.89
[Reporting] 235	88	0.89
[Reporting] 236	88	0.89
[Reporting] 237	88	0.89
[Reporting] 238	88	0.89
[Reporting] 239	88	0.89
[Reporting] 240	88	0.89
[Reporting] 241	88	0.89
[Reporting] 242	88	0.89
[Reporting] 243	88	0.89
[Reporting] 244	88	0.89
[Reporting] 245	88	0.89
[Reporting] 246	88	0.89
[Reporting] 247	88	0.89
[Reporting] 248	88	0.89
[Reporting] 249	88	0.89
[Reporting] 250	88	0.87
[Reporting] 251	88	0.88
[Reporting] 252	88	0.89
[Reporting] 253	88	0.84
[Reporting] 254	88	0.84
[Reporting] 255	88	0.84
[Reporting] 256	88	0.84
[Reporting] 257	88	0.84
[Reporting] 258	88	0.84
[Reporting] 259	88	0.84
[Reporting] 260	88	0.84
[Reporting] 261	88	0.84
[Reporting] 262	88	0.79
[Reporting] 263	88	0.78
[Reporting] 264	88	0.78
[Reporting] 265	88	0.81
[Reporting] 266	88	0.75
[Reporting] 267	88	0.75
[Reporting] 268	88	0.73
[Reporting] 269	88	0.7
[Reporting] 270	88	0.7
[Reporting] 271	88	0.7
[Reporting] 272	88	0.7
[Reporting] 273	88	0.7
[Reporting] 274	88	0.7
[Reporting] 275	88	0.7
[Reporting] 276	88	0.7
[Reporting] 277	88	0.7
[Reporting] 278	88	0.7
[Reporting] 279	88	0.7
[Reporting] 280	88	0.7
[Reporting] 281	88	0.7
[Reporting] 282	88	0.7
[Reporting] 283	88	0.7
[Reporting] 284	88	0.7
[Reporting] 285	88	0.7
[Reporting] 286	88	0.7
[Reporting] 287	88	0.7
[Reporting] 288	88	0.7
[Reporting] 289	88	0.7
[Reporting] 290	88	0.7
[Reporting] 291	88	0.69
[Reporting] 292	88	0.69
[Reporting] 293	88	0.67
[Reporting] 294	88	0.68
[Reporting] 295	88	0.66
[Reporting] 296	88	0.63
[Reporting] 297	88	0.63
[Reporting] 298	88	0.63
[Reporting] 299	88	0.63
[Reporting] 300	88	0.63
[Reporting] 301	88	0.63
[Reporting] 302	88	0.63
[Reporting] 303	88	0.65
[Reporting] 304	88	0.64
[Reporting] 305	88	0.64
[Reporting] 306	88	0.58
[Reporting] 307	88	0.58
[Reporting] 308	88	0.58
[Reporting] 309	88	0.58
[Reporting] 310	88	0.58
[Reporting] 311	88	0.58
[Reporting] 312	88	0.57
[Reporting] 313	88	0.57
[Reporting] 314	88	0.58
[Reporting] 315	88	0.58
[Reporting] 316	88	0.58
[Reporting] 317	88	0.58
[Reporting] 318	88	0.58
[Reporting] 319	88	0.58
[Reporting] 320	88	0.58
[Reporting] 321	88	0.58
[Reporting] 322	88	0.58
[Reporting] 323	88	0.57
[Reporting] 324	88	0.58
[Reporting] 325	88	0.58
[Reporting] 326	88	0.57
